Name,Role,Dob,image_url
 Virat  Kohli, Batsman ," Nov 5, 1988",https://playerimages.platform.bcci.tv/generic/500x640/164.png
 Lokesh  Rahul, Batsman ," Apr 18, 1992",https://playerimages.platform.bcci.tv/generic/500x640/1125.png
 Ishant  Sharma, Bowler ," Sep 2, 1988",https://playerimages.platform.bcci.tv/generic/500x640/38.png
 Ajinkya  Rahane, Batsman ," Jun 6, 1988",https://playerimages.platform.bcci.tv/generic/500x640/135.png
 Mohammed  Shami, Bowler ," Sep 3, 1990",https://playerimages.platform.bcci.tv/generic/500x640/94.png
 Rishabh  Pant, Wicket-keeper Batsman ," Oct 4, 1997",https://playerimages.platform.bcci.tv/generic/500x640/2972.png
 Hardik  Pandya, All-rounder ," Oct 11, 1993",https://playerimages.platform.bcci.tv/generic/500x640/2740.png
 Shikhar  Dhawan, Batsman ," Dec 5, 1985",https://playerimages.platform.bcci.tv/generic/500x640/41.png
 Ravichandran  Ashwin, Bowling all-rounder ," Sep 17, 1986",https://playerimages.platform.bcci.tv/generic/500x640/8.png
 Jasprit  Bumrah, Bowler ," Dec 6, 1993",https://playerimages.platform.bcci.tv/generic/500x640/1124.png
 Rohit  Sharma, Batsman ," Apr 30, 1987",https://playerimages.platform.bcci.tv/generic/500x640/107.png
 Ravindra  Jadeja, All-rounder ," Dec 6, 1988",https://playerimages.platform.bcci.tv/generic/500x640/9.png
 Cheteshwar  Pujara, Batsman ," Jan 25, 1988",https://playerimages.platform.bcci.tv/generic/500x640/156.png
 Navdeep  Saini, Bowler ," Nov 23, 1992",https://playerimages.platform.bcci.tv/generic/500x640/3824.png
 Axar  Patel, - ," Jan 20, 1994",https://playerimages.platform.bcci.tv/generic/500x640/1113.png
 Yuzvendra  Chahal, Bowler ," Jul 23, 1990",https://playerimages.platform.bcci.tv/generic/500x640/111.png
 Shreyas  Iyer, Batsman ," Dec 6, 1994",https://playerimages.platform.bcci.tv/generic/500x640/1563.png
 Washington  Sundar, All-rounder ," Oct 5, 1999",https://playerimages.platform.bcci.tv/generic/500x640/2973.png
 Shubman  Gill, Batsman ," Sep 8, 1999",https://playerimages.platform.bcci.tv/generic/500x640/3761.png
 Deepak  Chahar, Bowler ," Aug 7, 1992",https://playerimages.platform.bcci.tv/generic/500x640/140.png
 Bhuvneshwar  Kumar, Bowler ," Dec 5, 1990",https://playerimages.platform.bcci.tv/generic/500x640/116.png
 Hanuma  Vihari, Batting all-rounder ," Oct 13, 1993",https://playerimages.platform.bcci.tv/generic/500x640/1117.png
 Umesh  Yadav, Bowler ," Oct 25, 1987",https://playerimages.platform.bcci.tv/generic/500x640/59.png
 Wriddhiman  Saha, Wicket-keeper batsman ," Oct 24, 1984",https://playerimages.platform.bcci.tv/generic/500x640/16.png
 Kuldeep  Yadav, Bowler ," Dec 14, 1994",https://playerimages.platform.bcci.tv/generic/500x640/261.png
 Mayank  Agarwal, Batsman ," Feb 16, 1991",https://playerimages.platform.bcci.tv/generic/500x640/158.png
 Shardul  Thakur, - ," Oct 16, 1991",https://playerimages.platform.bcci.tv/generic/500x640/1745.png
